Scenario	Replication	TokenId	Element	Arrived	Started	Completed	Resources
S	0	0	Traer informacion estudiante - banner	2016-02-01 00:00:00	2016-02-01 08:00:00	2016-02-01 08:00:01	role0	
S	0	1	Traer informacion estudiante - banner	2016-02-01 08:00:59	2016-02-01 08:00:59	2016-02-01 08:01:01	role0	
S	0	1	Radicar Solicitud Homologacion	2016-02-01 08:01:01	2016-02-01 08:01:01	2016-02-01 08:01:57	role0	
S	0	0	Radicar Solicitud Homologacion	2016-02-01 08:00:01	2016-02-01 08:00:01	2016-02-01 08:08:25	role0	
S	0	2	Traer informacion estudiante - banner	2016-02-01 08:38:40	2016-02-01 08:38:40	2016-02-01 08:38:41	role0	
S	0	3	Traer informacion estudiante - banner	2016-02-01 08:42:19	2016-02-01 08:42:19	2016-02-01 08:42:21	role0	
S	0	3	Radicar Solicitud Homologacion	2016-02-01 08:42:21	2016-02-01 08:42:21	2016-02-01 08:45:38	role0	
S	0	2	Radicar Solicitud Homologacion	2016-02-01 08:38:41	2016-02-01 08:38:41	2016-02-01 08:47:45	role0	
S	0	4	Traer informacion estudiante - banner	2016-02-01 09:01:25	2016-02-01 09:01:25	2016-02-01 09:01:26	role0	
S	0	4	Radicar Solicitud Homologacion	2016-02-01 09:01:26	2016-02-01 09:01:26	2016-02-01 09:09:56	role0	
S	0	1	Validar solicitud	2016-02-01 08:01:57	2016-02-01 09:00:00	2016-02-01 09:26:38	role2	
S	0	3	Validar solicitud	2016-02-01 08:45:38	2016-02-01 09:00:00	2016-02-01 09:30:54	role2	
S	0	4	Validar solicitud	2016-02-01 09:09:56	2016-02-01 09:09:56	2016-02-01 09:40:21	role2	
S	0	2	Cancelar Solicitud	2016-02-01 08:47:45	2016-02-01 09:00:00	2016-02-01 09:53:55	role1	
S	0	2	Notificacion estudiante cancelacion soli	2016-02-01 09:53:55	2016-02-01 09:53:55	2016-02-01 09:53:56	role1	
