Scenario	Replication	TokenId	Element	Arrived	Started	Completed	Resources
S	0	0	Traer informacion estudiante - banner	2016-02-01 00:00:00	2016-02-01 02:00:00	2016-02-01 02:00:01	resource012345_1	
S	0	0	Radicar Solicitud Homologacion	2016-02-01 02:00:01	2016-02-01 02:00:01	2016-02-01 02:02:58	resource012345_1	
S	0	0	Validar solicitud	2016-02-01 02:02:58	2016-02-01 02:02:58	2016-02-01 02:28:28	resource012345_1	
S	0	1	Traer informacion estudiante - banner	2016-02-01 03:01:03	2016-02-01 04:00:00	2016-02-01 04:00:01	resource0_2	
S	0	2	Traer informacion estudiante - banner	2016-02-01 03:14:18	2016-02-01 04:00:01	2016-02-01 04:00:02	resource0_2	
S	0	3	Traer informacion estudiante - banner	2016-02-01 03:22:08	2016-02-01 04:00:02	2016-02-01 04:00:03	resource0_2	
S	0	4	Traer informacion estudiante - banner	2016-02-01 03:46:25	2016-02-01 04:00:03	2016-02-01 04:00:04	resource0_2	
S	0	1	Radicar Solicitud Homologacion	2016-02-01 04:00:01	2016-02-01 04:00:04	2016-02-01 04:11:14	resource0_2	
S	0	2	Radicar Solicitud Homologacion	2016-02-01 04:00:02	2016-02-01 04:11:14	2016-02-01 04:24:13	resource0_2	
S	0	3	Radicar Solicitud Homologacion	2016-02-01 04:00:03	2016-02-01 04:24:13	2016-02-01 04:27:10	resource0_2	
S	0	4	Radicar Solicitud Homologacion	2016-02-01 04:00:04	2016-02-01 04:27:10	2016-02-01 04:35:04	resource0_2	
S	0	5	Traer informacion estudiante - banner	2016-02-01 04:05:26	2016-02-01 04:35:04	2016-02-01 04:35:05	resource0_2	
S	0	6	Traer informacion estudiante - banner	2016-02-01 04:07:10	2016-02-01 04:35:05	2016-02-01 04:35:06	resource0_2	
S	0	7	Traer informacion estudiante - banner	2016-02-01 04:10:44	2016-02-01 04:35:06	2016-02-01 04:35:07	resource0_2	
S	0	8	Traer informacion estudiante - banner	2016-02-01 04:22:22	2016-02-01 04:35:07	2016-02-01 04:35:09	resource0_2	
S	0	9	Traer informacion estudiante - banner	2016-02-01 04:26:59	2016-02-01 04:35:09	2016-02-01 04:35:10	resource0_2	
S	0	5	Radicar Solicitud Homologacion	2016-02-01 04:35:05	2016-02-01 04:35:10	2016-02-01 04:40:17	resource0_2	
S	0	0	Evaluacion curso	2016-02-01 02:28:28	2016-02-01 02:28:28	2016-02-01 04:44:48	resource5_1	resource012345_1	
S	0	6	Radicar Solicitud Homologacion	2016-02-01 04:35:06	2016-02-01 04:40:17	2016-02-01 04:51:57	resource0_2	
S	0	7	Radicar Solicitud Homologacion	2016-02-01 04:35:07	2016-02-01 04:51:57	2016-02-01 05:01:03	resource0_2	
S	0	8	Radicar Solicitud Homologacion	2016-02-01 04:35:09	2016-02-01 05:01:03	2016-02-01 05:05:21	resource0_2	
S	0	9	Radicar Solicitud Homologacion	2016-02-01 04:35:10	2016-02-01 05:05:21	2016-02-01 05:06:59	resource0_2	
S	0	10	Traer informacion estudiante - banner	2016-02-01 04:40:11	2016-02-01 05:06:59	2016-02-01 05:07:00	resource0_2	
S	0	11	Traer informacion estudiante - banner	2016-02-01 04:43:06	2016-02-01 05:07:00	2016-02-01 05:07:01	resource0_2	
S	0	12	Traer informacion estudiante - banner	2016-02-01 04:46:55	2016-02-01 05:07:01	2016-02-01 05:07:02	resource0_2	
S	0	13	Traer informacion estudiante - banner	2016-02-01 05:03:57	2016-02-01 05:07:02	2016-02-01 05:07:03	resource0_2	
S	0	14	Traer informacion estudiante - banner	2016-02-01 05:05:48	2016-02-01 05:07:03	2016-02-01 05:07:05	resource0_2	
S	0	1	Cancelar Solicitud	2016-02-01 04:11:14	2016-02-01 04:11:14	2016-02-01 05:07:33	resource1_2	
S	0	10	Radicar Solicitud Homologacion	2016-02-01 05:07:00	2016-02-01 05:07:05	2016-02-01 05:10:12	resource0_2	
S	0	11	Radicar Solicitud Homologacion	2016-02-01 05:07:01	2016-02-01 05:10:12	2016-02-01 05:12:15	resource0_2	
S	0	12	Radicar Solicitud Homologacion	2016-02-01 05:07:02	2016-02-01 05:12:15	2016-02-01 05:27:45	resource0_2	
